"CreditScore","Geography","Gender","Age","Tenure","Balance","NumOfProducts","HasCrCard","IsActiveMember","EstimatedSalary","Exited","has4Prod","has3Prod","hasManyProd","ageAtStartOfTenure","depositRate","savingsToSalaryRatio","salaryToAgeSq","ageGroup","salaryQuartile"
751,"Germany","Female",36,6,169831.46,"2","1","1",27758.36,"0",FALSE,FALSE,FALSE,30,24261.6371428571,0.874029919017447,21.418487654321,"36-40","1Q"
581,"Germany","Female",34,1,101633.04,"1","1","0",110431.51,"0",FALSE,FALSE,FALSE,33,50816.52,0.460163226963029,95.5289878892734,"31-35","3Q"
735,"Germany","Male",43,10,123180.01,"2","1","1",196673.28,"0",FALSE,FALSE,FALSE,33,11198.1827272727,0.0569379975117755,106.367376960519,"41-45","4Q"
661,"Germany","Female",35,5,150725.53,"2","0","1",113656.85,"0",FALSE,FALSE,FALSE,30,25120.9216666667,0.221024264412278,92.7811020408163,"31-35","3Q"
675,"France","Female",21,8,98373.26,"1","1","0",18203,"0",FALSE,FALSE,FALSE,13,10930.3622222222,0.600470374236237,41.2766439909297,"<25","1Q"
738,"Germany","Male",58,2,133745.44,"4","1","0",28373.86,"1",TRUE,FALSE,TRUE,56,44581.8133333333,1.57122835360904,8.43456004756243,"56-60","1Q"
813,"France","Male",29,6,0,"1","1","0",33953.87,"0",FALSE,FALSE,FALSE,23,0,0,40.3732104637337,"26-30","1Q"
657,"Spain","Female",37,0,163607.18,"1","0","1",44203.55,"0",FALSE,FALSE,FALSE,37,163607.18,3.70122263935815,32.2889335281227,"36-40","1Q"
604,"Germany","Female",25,5,157780.84,"2","1","1",58426.81,"0",FALSE,FALSE,FALSE,20,26296.8066666667,0.450081164223525,93.482896,"<25","2Q"
519,"France","Male",36,9,0,"2","0","1",145562.4,"0",FALSE,FALSE,FALSE,27,0,0,112.316666666667,"36-40","3Q"
735,"France","Female",21,1,178718.19,"2","1","0",22388,"0",FALSE,FALSE,FALSE,20,89359.095,3.99138355368948,50.7664399092971,"<25","1Q"
664,"France","Male",55,8,0,"2","1","1",139161.64,"0",FALSE,FALSE,FALSE,47,0,0,46.0038479338843,"51-55","3Q"
678,"France","Female",32,9,0,"1","1","1",148210.64,"0",FALSE,FALSE,FALSE,23,0,0,144.736953125,"31-35","3Q"
757,"Spain","Male",33,5,77253.22,"1","0","1",194239.63,"0",FALSE,FALSE,FALSE,28,12875.5366666667,0.066286867755394,178.365133149679,"31-35","4Q"
416,"Germany","Female",41,10,122189.66,"2","1","0",98301.61,"0",FALSE,FALSE,FALSE,31,11108.1509090909,0.113000701708659,58.4780547293278,"41-45","2Q"
665,"France","Female",34,1,96645.54,"2","0","0",171413.66,"0",FALSE,FALSE,FALSE,33,48322.77,0.281907346240667,148.281712802768,"31-35","4Q"
777,"France","Female",32,2,0,"1","1","0",136458.19,"1",FALSE,FALSE,FALSE,30,0,0,133.259951171875,"31-35","3Q"
543,"France","Female",36,3,0,"2","0","0",26019.59,"0",FALSE,FALSE,FALSE,33,0,0,20.0768441358025,"36-40","1Q"
506,"France","Female",34,4,90307.62,"1","1","1",159235.29,"0",FALSE,FALSE,FALSE,30,18061.524,0.113426640539292,137.746790657439,"31-35","4Q"
493,"France","Female",46,4,0,"2","1","0",1907.66,"0",FALSE,FALSE,FALSE,42,0,0,0.901540642722117,"46-50","1Q"
652,"Spain","Female",75,10,0,"2","1","1",114675.75,"0",FALSE,FALSE,FALSE,65,0,0,20.3868,"71-75","3Q"
750,"Spain","Male",22,3,121681.82,"1","1","0",128643.35,"1",FALSE,FALSE,FALSE,19,30420.455,0.236471259493787,265.792045454545,"<25","3Q"
729,"France","Male",30,9,0,"2","1","0",151869.35,"0",FALSE,FALSE,FALSE,21,0,0,168.743722222222,"26-30","4Q"
646,"France","Female",46,4,0,"3","1","0",93251.42,"1",FALSE,TRUE,TRUE,42,0,0,44.0696691871456,"46-50","2Q"
635,"Germany","Female",28,3,81623.67,"2","1","1",156791.36,"0",FALSE,FALSE,FALSE,25,20405.9175,0.130146951337115,199.988979591837,"26-30","4Q"
647,"Spain","Female",44,5,0,"3","1","1",174205.22,"1",FALSE,TRUE,TRUE,39,0,0,89.9820351239669,"41-45","4Q"
808,"France","Male",45,7,118626.55,"2","1","0",147132.46,"0",FALSE,FALSE,FALSE,38,14828.31875,0.100782103079089,72.6580049382716,"41-45","3Q"
524,"France","Female",36,10,0,"2","1","0",109614.57,"0",FALSE,FALSE,FALSE,26,0,0,84.5791435185185,"36-40","3Q"
769,"France","Male",29,8,0,"2","1","1",172290.61,"0",FALSE,FALSE,FALSE,21,0,0,204.863983353151,"26-30","4Q"
730,"Spain","Male",42,4,0,"2","0","1",85982.47,"0",FALSE,FALSE,FALSE,38,0,0,48.7428968253968,"41-45","2Q"
515,"Spain","Male",35,10,176273.95,"1","0","1",121277.78,"0",FALSE,FALSE,FALSE,25,16024.9045454545,0.13213388755512,99.0022693877551,"31-35","3Q"
773,"Spain","Male",41,9,102827.44,"1","0","1",64595.25,"0",FALSE,FALSE,FALSE,32,10282.744,0.159187308664337,38.4266805472933,"41-45","2Q"
814,"Germany","Male",29,8,97086.4,"2","1","1",197276.13,"0",FALSE,FALSE,FALSE,21,10787.3777777778,0.054681616968955,234.573281807372,"26-30","4Q"
710,"Spain","Male",22,8,0,"2","0","0",99645.04,"0",FALSE,FALSE,FALSE,14,0,0,205.878181818182,"<25","2Q"
413,"France","Male",34,9,0,"2","0","0",6534.18,"0",FALSE,FALSE,FALSE,25,0,0,5.65240484429066,"31-35","1Q"
665,"France","Female",40,6,0,"1","1","1",161848.03,"0",FALSE,FALSE,FALSE,34,0,0,101.15501875,"36-40","4Q"
623,"France","Female",44,6,0,"2","0","0",167162.43,"0",FALSE,FALSE,FALSE,38,0,0,86.3442303719008,"41-45","4Q"
738,"France","Male",31,9,82674.15,"1","1","0",41970.72,"0",FALSE,FALSE,FALSE,22,8267.415,0.19698053786068,43.6740062434964,"31-35","1Q"
528,"Spain","Male",36,7,0,"2","1","0",60536.56,"0",FALSE,FALSE,FALSE,29,0,0,46.7103086419753,"36-40","2Q"
670,"Spain","Female",65,1,0,"1","1","1",177655.68,"1",FALSE,FALSE,FALSE,64,0,0,42.0486816568047,"61-65","4Q"
622,"Spain","Female",46,4,107073.27,"2","1","1",30984.59,"1",FALSE,FALSE,FALSE,42,21414.654,0.691138853217035,14.6430009451796,"46-50","1Q"
582,"Germany","Male",32,1,88938.62,"1","1","1",10054.53,"0",FALSE,FALSE,FALSE,31,44469.31,4.42281339853777,9.818876953125,"31-35","1Q"
785,"Germany","Female",36,2,99806.85,"1","0","1",36976.52,"0",FALSE,FALSE,FALSE,34,33268.95,0.899731775732276,28.5312654320988,"36-40","1Q"
605,"Spain","Male",33,5,150092.8,"1","0","0",71862.79,"0",FALSE,FALSE,FALSE,28,25015.4666666667,0.348100410054587,65.9897061524334,"31-35","2Q"
479,"Germany","Male",35,9,92833.89,"1","1","0",99449.86,"1",FALSE,FALSE,FALSE,26,9283.389,0.0933474315599841,81.1835591836735,"31-35","2Q"
685,"Germany","Male",30,3,90536.81,"1","0","1",63082.88,"0",FALSE,FALSE,FALSE,27,22634.2025,0.358801032863433,70.0920888888889,"26-30","2Q"
538,"Germany","Male",39,7,108055.1,"2","1","0",27231.26,"0",FALSE,FALSE,FALSE,32,13506.8875,0.496006703325516,17.9035239973702,"36-40","1Q"
562,"France","Male",42,2,100238.35,"1","0","0",86797.41,"0",FALSE,FALSE,FALSE,40,33412.7833333333,0.384951386606275,49.204880952381,"41-45","2Q"
675,"Spain","Male",36,9,106190.55,"1","0","1",22994.32,"0",FALSE,FALSE,FALSE,27,10619.055,0.461812090985948,17.7425308641975,"36-40","1Q"
721,"Germany","Male",28,9,154475.54,"2","0","1",101300.94,"1",FALSE,FALSE,FALSE,19,15447.554,0.152491714292088,129.210382653061,"26-30","3Q"
628,"Germany","Female",30,9,132351.29,"2","1","1",74169.13,"0",FALSE,FALSE,FALSE,21,13235.129,0.178445250739762,82.4101444444445,"26-30","2Q"
668,"Germany","Female",37,6,167864.4,"1","1","0",115638.29,"0",FALSE,FALSE,FALSE,31,23980.6285714286,0.207376194956087,84.4691672753835,"36-40","3Q"
506,"France","Female",41,1,0,"2","1","0",31766.3,"0",FALSE,FALSE,FALSE,40,0,0,18.8972635336109,"41-45","1Q"
524,"Germany","Female",31,8,107818.63,"1","1","0",199725.39,"1",FALSE,FALSE,FALSE,23,11979.8477777778,0.0599815966201282,207.830790842872,"31-35","4Q"
699,"Germany","Male",34,4,185173.81,"2","1","0",120834.48,"0",FALSE,FALSE,FALSE,30,37034.762,0.30649167356867,104.528096885813,"31-35","3Q"
828,"France","Male",34,8,129433.34,"2","0","0",38131.77,"0",FALSE,FALSE,FALSE,26,14381.4822222222,0.37715223348463,32.9859602076125,"31-35","1Q"
674,"Spain","Male",39,6,120193.42,"1","0","0",100130.95,"0",FALSE,FALSE,FALSE,33,17170.4885714286,0.171480332219245,65.8323142669296,"36-40","2Q"
656,"France","Female",39,6,0,"2","1","0",141069.88,"0",FALSE,FALSE,FALSE,33,0,0,92.7481130834977,"36-40","3Q"
684,"Germany","Female",48,10,126384.42,"1","1","1",198129.36,"0",FALSE,FALSE,FALSE,38,11489.4927272727,0.0579898543419952,85.9936458333333,"46-50","4Q"
625,"France","Female",28,3,0,"1","0","0",183646.41,"0",FALSE,FALSE,FALSE,25,0,0,234.242869897959,"26-30","4Q"
432,"France","Male",42,9,152603.45,"1","1","0",110265.24,"1",FALSE,FALSE,FALSE,33,15260.345,0.138396696910105,62.5086394557823,"41-45","3Q"
549,"France","Female",52,1,0,"1","0","1",8636.05,"1",FALSE,FALSE,FALSE,51,0,0,3.19380547337278,"51-55","1Q"
625,"Germany","Male",56,0,148507.24,"1","1","0",46824.08,"1",FALSE,FALSE,FALSE,56,148507.24,3.17159974098797,14.9311479591837,"56-60","1Q"
828,"France","Female",41,7,0,"2","1","0",171378.77,"0",FALSE,FALSE,FALSE,34,0,0,101.950487804878,"41-45","4Q"
770,"France","Male",24,9,101827.07,"1","1","0",167256.35,"0",FALSE,FALSE,FALSE,15,10182.707,0.0608808395017588,290.375607638889,"<25","4Q"
758,"France","Female",34,3,0,"2","1","1",124226.16,"0",FALSE,FALSE,FALSE,31,0,0,107.462076124567,"31-35","3Q"
795,"Germany","Female",33,9,130862.43,"1","1","1",114935.21,"0",FALSE,FALSE,FALSE,24,13086.243,0.113857563752657,105.541974288338,"31-35","3Q"
687,"France","Male",38,9,122570.87,"1","1","1",35608.88,"0",FALSE,FALSE,FALSE,29,12257.087,0.344214336423948,24.6598891966759,"36-40","1Q"
686,"France","Male",25,1,0,"2","0","1",16459.37,"0",FALSE,FALSE,FALSE,24,0,0,26.334992,"<25","1Q"
789,"Germany","Male",39,7,124828.46,"2","1","1",124411.08,"0",FALSE,FALSE,FALSE,32,15603.5575,0.12541935573584,81.7955818540434,"36-40","3Q"
589,"Germany","Female",50,5,144895.05,"2","1","1",34941.23,"0",FALSE,FALSE,FALSE,45,24149.175,0.691136946238012,13.976492,"46-50","1Q"
461,"Germany","Female",34,5,63663.93,"1","0","1",167784.28,"0",FALSE,FALSE,FALSE,29,10610.655,0.0632398637107124,145.142110726644,"31-35","4Q"
637,"France","Male",40,2,133463.1,"1","0","1",93165.34,"0",FALSE,FALSE,FALSE,38,44487.7,0.477513418616838,58.2283375,"36-40","2Q"
584,"Spain","Female",48,2,213146.2,"1","1","0",75161.25,"1",FALSE,FALSE,FALSE,46,71048.7333333333,0.945284083664566,32.6220703125,"46-50","2Q"
579,"Spain","Female",35,1,129490.36,"2","0","1",8590.83,"1",FALSE,FALSE,FALSE,34,64745.18,7.5365453629044,7.01292244897959,"31-35","1Q"
756,"Germany","Male",44,10,137452.09,"1","1","0",189543.9,"0",FALSE,FALSE,FALSE,34,12495.6445454545,0.0659248044672213,97.9049070247934,"41-45","4Q"
663,"France","Male",34,7,0,"2","1","1",180427.24,"0",FALSE,FALSE,FALSE,27,0,0,156.07892733564,"31-35","4Q"
682,"France","Female",43,5,125851.93,"1","1","1",193318.33,"0",FALSE,FALSE,FALSE,38,20975.3216666667,0.108501463191135,104.552909680909,"41-45","4Q"
793,"Spain","Male",52,2,0,"1","1","0",159123.82,"1",FALSE,FALSE,FALSE,50,0,0,58.8475665680473,"51-55","4Q"
691,"France","Female",31,5,40915.55,"1","1","0",126213.84,"1",FALSE,FALSE,FALSE,26,6819.25833333333,0.0540294022694606,131.335941727367,"31-35","3Q"
485,"Spain","Female",21,5,113157.22,"1","1","1",54141.5,"0",FALSE,FALSE,FALSE,16,18859.5366666667,0.348337904688024,122.769841269841,"<25","2Q"
635,"Spain","Female",29,8,138296.94,"2","1","0",141075.51,"0",FALSE,FALSE,FALSE,21,15366.3266666667,0.108922708602412,167.747336504162,"26-30","3Q"
650,"France","Male",37,5,106967.18,"1","0","0",24495.03,"0",FALSE,FALSE,FALSE,32,17827.8633333333,0.727815533736163,17.8926442658875,"36-40","1Q"
735,"France","Male",44,9,120681.63,"1","1","0",74836.34,"0",FALSE,FALSE,FALSE,35,12068.163,0.161260732419571,38.6551342975207,"41-45","2Q"
416,"France","Male",32,0,0,"2","0","1",878.87,"0",FALSE,FALSE,FALSE,32,0,0,0.858271484375,"31-35","1Q"
754,"Spain","Female",32,7,0,"2","1","0",89520.75,"0",FALSE,FALSE,FALSE,25,0,0,87.422607421875,"31-35","2Q"
535,"France","Female",48,9,0,"1","1","0",149892.79,"1",FALSE,FALSE,FALSE,39,0,0,65.0576345486111,"46-50","4Q"
716,"Spain","Male",42,8,0,"2","1","0",180800.42,"0",FALSE,FALSE,FALSE,34,0,0,102.494569160998,"41-45","4Q"
539,"France","Male",37,2,127609.59,"1","1","0",98646.22,"0",FALSE,FALSE,FALSE,35,42536.53,0.431202837777261,72.0571365960555,"36-40","2Q"
614,"France","Female",43,6,0,"2","1","1",109041.53,"0",FALSE,FALSE,FALSE,37,0,0,58.9732449972958,"41-45","3Q"
706,"Spain","Male",57,7,0,"1","1","0",17941.16,"1",FALSE,FALSE,FALSE,50,0,0,5.52205601723607,"56-60","1Q"
758,"France","Female",33,7,0,"2","0","0",82996.47,"0",FALSE,FALSE,FALSE,26,0,0,76.2134710743802,"31-35","2Q"
586,"Spain","Female",28,2,0,"2","1","1",92067.35,"0",FALSE,FALSE,FALSE,26,0,0,117.432844387755,"26-30","2Q"
646,"France","Female",73,6,97259.25,"1","0","1",104719.66,"0",FALSE,FALSE,FALSE,67,13894.1785714286,0.132679752507109,19.6509026083693,"71-75","3Q"
631,"Germany","Female",33,4,123246.7,"1","0","0",112687.57,"0",FALSE,FALSE,FALSE,29,24649.34,0.218740540771267,103.478025711662,"31-35","3Q"
717,"Spain","Female",22,6,101060.25,"1","0","1",84699.56,"0",FALSE,FALSE,FALSE,16,14437.1785714286,0.170451636011197,174.999090909091,"<25","2Q"
684,"France","Male",30,2,0,"2","1","0",83473.82,"0",FALSE,FALSE,FALSE,28,0,0,92.7486888888889,"26-30","2Q"
800,"France","Female",49,7,108007.36,"1","0","0",47125.11,"0",FALSE,FALSE,FALSE,42,13500.92,0.28649100235522,19.6272844648063,"46-50","1Q"
721,"Spain","Female",36,2,0,"2","1","1",106977.8,"0",FALSE,FALSE,FALSE,34,0,0,82.5445987654321,"36-40","3Q"
683,"Spain","Male",29,0,133702.89,"1","1","0",55582.54,"1",FALSE,FALSE,FALSE,29,133702.89,2.40548362849197,66.0910107015458,"26-30","2Q"
660,"Germany","Male",31,9,125189.75,"2","1","1",139874.43,"0",FALSE,FALSE,FALSE,22,12518.975,0.0895015264762831,145.550915712799,"31-35","3Q"
704,"Germany","Female",24,7,113034.22,"1","1","0",162503.48,"1",FALSE,FALSE,FALSE,17,14129.2775,0.0869475379850327,282.124097222222,"<25","4Q"
615,"Spain","Female",41,9,109013.23,"1","1","0",196499.96,"0",FALSE,FALSE,FALSE,32,10901.323,0.0554774820310396,116.894681737061,"41-45","4Q"
667,"Spain","Female",39,2,0,"2","1","0",40721.24,"1",FALSE,FALSE,FALSE,37,0,0,26.7726758711374,"36-40","1Q"
682,"Germany","Male",24,9,57929.81,"2","0","0",53134.3,"0",FALSE,FALSE,FALSE,15,5792.981,0.109025262401123,92.2470486111111,"<25","2Q"
484,"France","Female",29,4,130114.39,"1","1","0",164017.89,"0",FALSE,FALSE,FALSE,25,26022.878,0.158658778015008,195.027217598098,"26-30","4Q"
628,"Germany","Male",27,5,95826.49,"2","1","0",155996.96,"0",FALSE,FALSE,FALSE,22,15971.0816666667,0.102380723744018,213.987599451303,"26-30","4Q"
480,"Germany","Male",44,10,129608.57,"1","1","0",5472.7,"1",FALSE,FALSE,FALSE,34,11782.5972727273,2.15297700819107,2.82680785123967,"41-45","1Q"
578,"France","Male",30,4,169462.09,"1","1","0",112187.11,"0",FALSE,FALSE,FALSE,26,33892.418,0.302106168881612,124.652344444444,"26-30","3Q"
512,"France","Male",40,5,0,"2","1","1",146457.83,"0",FALSE,FALSE,FALSE,35,0,0,91.53614375,"36-40","3Q"
484,"Spain","Female",35,7,133868.21,"1","1","1",27286.1,"0",FALSE,FALSE,FALSE,28,16733.52625,0.613261926402088,22.2743673469388,"31-35","1Q"
510,"France","Female",30,0,0,"2","1","1",130553.47,"0",FALSE,FALSE,FALSE,30,0,0,145.059411111111,"26-30","3Q"
606,"Germany","Male",36,5,190479.48,"2","0","0",179351.89,"0",FALSE,FALSE,FALSE,31,31746.58,0.177007223062996,138.388804012346,"36-40","4Q"
